,Away_Team,Away_Score,Home_Team,Home_Score,Date,Home_Win,Away_Win
0,BAL,10,BOS,9,2023-03-30,0,1
1,MIL,0,CHC,4,2023-03-30,1,0
2,PIT,5,CIN,4,2023-03-30,0,1
3,CHW,3,HOU,2,2023-03-30,0,1
4,MIN,2,KCR,0,2023-03-30,0,1
5,ARI,2,LAD,8,2023-03-30,1,0
6,NYM,5,MIA,3,2023-03-30,0,1
7,SFG,0,NYY,5,2023-03-30,1,0
8,LAA,1,OAK,2,2023-03-30,1,0
9,COL,7,SDP,2,2023-03-30,0,1
10,CLE,0,SEA,3,2023-03-30,1,0
11,TOR,10,STL,9,2023-03-30,0,1
12,DET,0,TBR,4,2023-03-30,1,0
13,PHI,7,TEX,11,2023-03-30,1,0
14,ATL,7,WSN,2,2023-03-30,0,1
15,CHW,3,HOU,6,2023-03-31,1,0
16,ARI,2,LAD,1,2023-03-31,0,1
17,NYM,1,MIA,2,2023-03-31,1,0
18,COL,4,SDP,1,2023-03-31,0,1
19,CLE,9,SEA,4,2023-03-31,0,1
20,BAL,8,BOS,9,2023-04-01,1,0
21,MIL,3,CHC,1,2023-04-01,0,1
22,PIT,2,CIN,6,2023-04-01,1,0
23,CHW,4,HOU,6,2023-04-01,1,0
24,MIN,2,KCR,0,2023-04-01,0,1
25,ARI,1,LAD,10,2023-04-01,1,0
26,NYM,6,MIA,2,2023-04-01,0,1
27,SFG,7,NYY,5,2023-04-01,0,1
28,LAA,13,OAK,1,2023-04-01,0,1
29,COL,4,SDP,8,2023-04-01,1,0
30,CLE,2,SEA,0,2023-04-01,0,1
31,TOR,1,STL,4,2023-04-01,1,0
32,DET,2,TBR,12,2023-04-01,1,0
33,PHI,3,TEX,16,2023-04-01,1,0
34,ATL,7,WSN,1,2023-04-01,0,1
35,BAL,5,BOS,9,2023-04-02,1,0
36,MIL,9,CHC,5,2023-04-02,0,1
37,PIT,1,CIN,3,2023-04-02,1,0
38,CHW,6,HOU,3,2023-04-02,0,1
39,MIN,7,KCR,4,2023-04-02,0,1
40,ARI,2,LAD,1,2023-04-02,0,1
41,NYM,5,MIA,1,2023-04-02,0,1
42,SFG,0,NYY,6,2023-04-02,1,0
43,LAA,6,OAK,0,2023-04-02,0,1
44,COL,1,SDP,3,2023-04-02,1,0
45,CLE,6,SEA,5,2023-04-02,0,1
46,TOR,4,STL,9,2023-04-02,1,0
47,DET,1,TBR,5,2023-04-02,1,0
48,PHI,1,TEX,2,2023-04-02,1,0
49,ATL,1,WSN,4,2023-04-02,1,0
50,PIT,7,BOS,6,2023-04-03,0,1
51,SFG,12,CHW,3,2023-04-03,0,1
52,CHC,6,CIN,7,2023-04-03,1,0
53,DET,7,HOU,6,2023-04-03,0,1
54,TOR,5,KCR,9,2023-04-03,1,0
55,COL,4,LAD,13,2023-04-03,1,0
56,MIN,11,MIA,1,2023-04-03,0,1
57,NYM,0,MIL,10,2023-04-03,1,0
58,PHI,1,NYY,8,2023-04-03,1,0
59,CLE,12,OAK,11,2023-04-03,0,1
60,ARI,4,SDP,5,2023-04-03,1,0
61,LAA,7,SEA,3,2023-04-03,0,1
62,ATL,8,STL,4,2023-04-03,0,1
63,BAL,2,TEX,0,2023-04-03,0,1
64,TBR,6,WSN,2,2023-04-03,0,1
65,PIT,4,BOS,1,2023-04-04,0,1
66,CHC,12,CIN,5,2023-04-04,0,1
67,DET,6,HOU,3,2023-04-04,0,1
68,TOR,4,KCR,1,2023-04-04,0,1
69,COL,2,LAD,5,2023-04-04,1,0
70,MIN,0,MIA,1,2023-04-04,1,0
71,NYM,0,MIL,9,2023-04-04,1,0
72,PHI,4,NYY,1,2023-04-04,0,1
73,CLE,3,OAK,4,2023-04-04,1,0
74,ARI,8,SDP,6,2023-04-04,0,1
75,LAA,2,SEA,11,2023-04-04,1,0
76,ATL,4,STL,1,2023-04-04,0,1
77,BAL,7,TEX,2,2023-04-04,0,1
78,TBR,10,WSN,6,2023-04-04,0,1
79,PIT,4,BOS,1,2023-04-05,0,1
80,SFG,3,CHW,7,2023-04-05,1,0
81,DET,2,HOU,8,2023-04-05,1,0
82,TOR,3,KCR,0,2023-04-05,0,1
83,MIN,2,MIA,5,2023-04-05,1,0
84,NYM,6,MIL,7,2023-04-05,1,0
85,PHI,2,NYY,4,2023-04-05,1,0
86,CLE,6,OAK,4,2023-04-05,0,1
87,LAA,4,SEA,3,2023-04-05,0,1
88,ATL,5,STL,2,2023-04-05,0,1
89,BAL,2,TEX,5,2023-04-05,1,0
90,TBR,7,WSN,2,2023-04-05,0,1
91,LAD,5,ARI,2,2023-04-06,0,1
92,SDP,6,ATL,7,2023-04-06,1,0
93,SFG,16,CHW,6,2023-04-06,0,1
94,WSN,0,COL,1,2023-04-06,1,0
95,BOS,6,DET,3,2023-04-06,0,1
96,TOR,6,KCR,3,2023-04-06,0,1
97,TOR,4,LAA,3,2023-04-07,0,1
98,LAD,3,ARI,6,2023-04-07,1,0
99,SDP,5,ATL,4,2023-04-07,0,1
100,NYY,6,BAL,7,2023-04-07,1,0
101,TEX,0,CHC,2,2023-04-07,1,0
102,SEA,5,CLE,3,2023-04-07,0,1
103,WSN,10,COL,5,2023-04-07,0,1
104,STL,0,MIL,4,2023-04-07,1,0
105,HOU,2,MIN,3,2023-04-07,1,0
106,MIA,3,NYM,9,2023-04-07,1,0
107,CIN,2,PHI,5,2023-04-07,1,0
108,CHW,9,PIT,13,2023-04-07,1,0
109,KCR,3,SFG,1,2023-04-07,0,1
110,OAK,5,TBR,9,2023-04-07,1,0
111,TOR,5,LAA,9,2023-04-08,1,0
112,LAD,8,ARI,12,2023-04-08,1,0
113,SDP,4,ATL,1,2023-04-08,0,1
114,NYY,4,BAL,1,2023-04-08,0,1
115,TEX,3,CHC,10,2023-04-08,1,0
116,SEA,3,CLE,2,2023-04-08,0,1
117,WSN,7,COL,6,2023-04-08,0,1
118,BOS,14,DET,5,2023-04-08,0,1
119,STL,6,MIL,0,2023-04-08,0,1
120,HOU,6,MIN,9,2023-04-08,1,0
121,MIA,2,NYM,5,2023-04-08,1,0
122,CIN,2,PHI,3,2023-04-08,1,0
123,CHW,11,PIT,5,2023-04-08,0,1
124,KCR,6,SFG,5,2023-04-08,0,1
125,OAK,0,TBR,11,2023-04-08,1,0
126,TOR,12,LAA,11,2023-04-09,0,1
127,LAD,6,ARI,11,2023-04-09,1,0
128,SDP,10,ATL,2,2023-04-09,0,1
129,NYY,5,BAL,3,2023-04-09,0,1
130,TEX,8,CHC,2,2023-04-09,0,1
131,SEA,6,CLE,7,2023-04-09,1,0
132,WSN,6,COL,7,2023-04-09,1,0
133,BOS,4,DET,1,2023-04-09,0,1
134,STL,1,MIL,6,2023-04-09,1,0
135,HOU,5,MIN,1,2023-04-09,0,1
136,MIA,7,NYM,2,2023-04-09,0,1
137,CIN,6,PHI,4,2023-04-09,0,1
138,CHW,0,PIT,1,2023-04-09,1,0
139,KCR,1,SFG,3,2023-04-09,1,0
140,OAK,0,TBR,11,2023-04-09,1,0
141,WSN,6,LAA,4,2023-04-10,0,1
142,MIL,0,ARI,3,2023-04-10,1,0
143,CIN,4,ATL,5,2023-04-10,1,0
144,OAK,1,BAL,5,2023-04-10,1,0
145,SEA,2,CHC,3,2023-04-10,1,0
146,NYY,2,CLE,3,2023-04-10,1,0
147,STL,4,COL,7,2023-04-10,1,0
148,CHW,4,MIN,3,2023-04-10,0,1
149,SDP,0,NYM,5,2023-04-10,1,0
150,MIA,3,PHI,15,2023-04-10,1,0
151,HOU,8,PIT,2,2023-04-10,0,1
152,LAD,9,SFG,1,2023-04-10,0,1
153,BOS,0,TBR,1,2023-04-10,1,0
154,KCR,2,TEX,11,2023-04-10,1,0
155,WSN,0,LAA,2,2023-04-11,1,0
156,MIL,7,ARI,1,2023-04-11,0,1
157,CIN,6,ATL,7,2023-04-11,1,0
158,OAK,8,BAL,12,2023-04-11,1,0
159,SEA,9,CHC,14,2023-04-11,1,0
160,NYY,11,CLE,2,2023-04-11,0,1
161,STL,9,COL,6,2023-04-11,0,1
162,CHW,3,MIN,4,2023-04-11,1,0
163,SDP,4,NYM,2,2023-04-11,0,1
164,MIA,8,PHI,4,2023-04-11,0,1
165,HOU,4,PIT,7,2023-04-11,1,0
166,LAD,0,SFG,5,2023-04-11,1,0
167,BOS,2,TBR,7,2023-04-11,1,0
168,KCR,5,TEX,8,2023-04-11,1,0
169,DET,3,TOR,9,2023-04-11,1,0
170,WSN,2,LAA,3,2023-04-12,1,0
171,MIL,3,ARI,7,2023-04-12,1,0
172,CIN,4,ATL,5,2023-04-12,1,0
173,OAK,8,BAL,4,2023-04-12,0,1
174,SEA,5,CHC,2,2023-04-12,0,1
175,NYY,4,CLE,3,2023-04-12,0,1
176,STL,7,COL,4,2023-04-12,0,1
177,CHW,1,MIN,3,2023-04-12,1,0
178,SDP,2,NYM,5,2023-04-12,1,0
179,MIA,3,PHI,2,2023-04-12,0,1
180,HOU,7,PIT,0,2023-04-12,0,1
181,LAD,10,SFG,5,2023-04-12,0,1
182,BOS,7,TBR,9,2023-04-12,1,0
183,KCR,10,TEX,1,2023-04-12,0,1
184,DET,3,TOR,4,2023-04-12,1,0
185,OAK,7,BAL,8,2023-04-13,1,0
186,PHI,2,CIN,6,2023-04-13,1,0
187,MIN,11,NYY,2,2023-04-13,0,1
188,MIL,4,SDP,3,2023-04-13,0,1
189,PIT,5,STL,0,2023-04-13,0,1
190,BOS,3,TBR,9,2023-04-13,1,0
191,DET,3,TOR,1,2023-04-13,0,1
192,LAA,3,BOS,5,2023-04-14,1,0
193,BAL,6,CHW,3,2023-04-14,0,1
194,PHI,8,CIN,3,2023-04-14,0,1
195,SFG,5,DET,7,2023-04-14,1,0
196,TEX,6,HOU,2,2023-04-14,0,1
197,ATL,10,KCR,3,2023-04-14,0,1
198,CHC,8,LAD,2,2023-04-14,0,1
199,ARI,1,MIA,5,2023-04-14,1,0
200,MIN,4,NYY,3,2023-04-14,0,1
201,NYM,17,OAK,6,2023-04-14,0,1
202,MIL,11,SDP,2,2023-04-14,0,1
203,COL,3,SEA,5,2023-04-14,1,0
204,PIT,0,STL,3,2023-04-14,1,0
205,TBR,3,TOR,6,2023-04-14,1,0
206,CLE,4,WSN,3,2023-04-14,0,1
207,LAA,7,BOS,9,2023-04-15,1,0
208,BAL,6,CHW,7,2023-04-15,1,0
209,PHI,0,CIN,13,2023-04-15,1,0
210,SFG,6,DET,7,2023-04-15,1,0
211,TEX,2,HOU,8,2023-04-15,1,0
