,,,,,,,,,,,,,,,,
Rk.,Team,Venue,Year,Park Factor,wOBACon,BACON,R,OBP,H,1B,2B,3B,HR,BB,SO,PA
1,Rockies,Coors Field,2021-2023,111,109,108,123,109,115,112,123,206,108,94,85,"50,459"
2,Red Sox,Fenway Park,2021-2023,109,109,109,119,108,111,108,128,130,99,99,95,"53,675"
3,Reds,Great American Ball Park,2021-2023,107,109,106,114,105,104,99,103,83,132,107,103,"51,750"
4,,London Stadium,2021-2023,106,109,115,112,108,107,110,131,0,67,82,102,594
5,Orioles,Oriole Park at Camden Yards,2021-2023,103,102,102,106,102,105,107,97,97,107,96,94,"49,635"
6,Royals,Kauffman Stadium,2021-2023,103,99,102,106,105,106,110,108,149,81,101,87,"50,654"
7,Cubs,Wrigley Field,2021-2023,102,103,103,104,102,102,102,92,130,107,104,103,"51,640"
8,Nationals,Nationals Park,2021-2023,102,100,100,104,102,103,105,99,83,106,97,89,"49,995"
9,Angels,Angel Stadium,2021-2023,101,103,102,102,100,99,98,92,103,112,104,107,"50,610"
10,D-backs,Chase Field,2021-2023,101,100,101,102,101,104,104,116,148,85,97,95,"50,092"
11,Pirates,PNC Park,2021-2023,101,98,101,102,104,103,106,107,116,82,106,91,"50,914"
12,Braves,Truist Park,2021-2023,101,105,103,102,100,101,100,97,86,111,99,108,"51,175"
13,Phillies,Citizens Bank Park,2021-2023,101,103,101,102,100,100,97,101,117,111,98,103,"51,825"
14,Rangers,Globe Life Field,2021-2023,101,100,100,102,100,101,101,97,82,109,99,98,"50,837"
15,Twins,Target Field,2021-2023,101,101,100,102,100,100,96,108,83,104,103,102,"50,995"
16,White Sox,Guaranteed Rate Field,2021-2023,100,101,100,100,100,99,100,91,72,109,102,101,"50,063"
17,Blue Jays,Rogers Centre,2021-2023,100,100,100,100,99,101,100,108,50,105,92,98,"41,561"
18,Dodgers,Dodger Stadium,2021-2023,100,102,99,100,97,97,91,99,73,122,96,106,"51,713"
19,Astros,Minute Maid Park,2021-2023,99,99,99,98,100,99,99,96,104,100,106,100,"52,018"
20,Cardinals,Busch Stadium,2021-2023,98,95,97,96,100,101,104,101,80,89,97,90,"49,093"
21,Giants,Oracle Park,2021-2023,98,98,100,96,99,100,103,101,124,84,95,102,"50,412"
22,Yankees,Yankee Stadium,2021-2023,98,98,96,96,97,93,91,84,45,117,109,107,"51,555"
23,Guardians,Progressive Field,2021-2023,97,96,97,94,97,98,99,101,80,90,95,98,"49,257"
24,Brewers,American Family Field,2021-2023,97,99,96,94,97,93,91,89,91,109,108,110,"50,893"
25,Marlins,loanDepot park,2021-2023,97,98,100,94,98,100,102,104,120,82,92,104,"50,069"
26,Tigers,Comerica Park,2021-2023,97,95,97,94,99,99,103,94,171,78,101,96,"50,022"
27,Athletics,Oakland Coliseum,2021-2023,96,94,95,92,97,95,96,101,105,83,99,98,"50,358"
28,Mets,Citi Field,2021-2023,96,96,96,92,97,94,98,83,63,94,103,105,"49,772"
29,Rays,Tropicana Field,2021-2023,95,98,98,90,95,94,92,99,101,94,95,110,"49,980"
30,Padres,Petco Park,2021-2023,95,95,95,90,97,94,96,90,48,93,105,104,"50,947"
31,Mariners,T-Mobile Park,2021-2023,93,94,94,86,93,91,91,87,56,98,97,109,"50,551"
